Day,Month,Year,Content ID,Reaction Type,Content Type,Category,Sentiment,Score
Sun,Jul,2020,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,photo,travel,negative,0
Tue,May,2021,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,audio,dogs,negative,0
Wed,Apr,2021,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,GIF,science,negative,0
Wed,Aug,2020,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,GIF,science,negative,0
Tue,Jul,2020,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,GIF,veganism,negative,0
Sun,Jun,2020,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,GIF,veganism,negative,0
Mon,Mar,2021,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,photo,healthy eating,negative,0
Sun,Feb,2021,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,video,food,negative,0
Fri,Dec,2020,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,video,food,negative,0
Tue,Dec,2020,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,video,dogs,negative,0
Wed,Jul,2020,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,video,dogs,negative,0
Thu,Oct,2020,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,video,dogs,negative,0
Sun,Jan,2021,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,video,cooking,negative,0
Tue,Jun,2020,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,video,cooking,negative,0
Sat,Oct,2020,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,audio,food,negative,0
Sat,Aug,2020,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,photo,technology,negative,0
Tue,Oct,2020,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,photo,technology,negative,0
Tue,Jun,2020,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,GIF,healthy eating,negative,0
Sat,Jan,2021,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,GIF,healthy eating,negative,0
Fri,May,2021,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,GIF,healthy eating,negative,0
Thu,Oct,2020,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,GIF,healthy eating,negative,0
Tue,Jul,2020,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,GIF,healthy eating,negative,0
Tue,Sep,2020,4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,audio,animals,negative,0
Sat,Apr,2021,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,audio,fitness,negative,0
Thu,Mar,2021,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,audio,fitness,negative,0
Sun,Jul,2020,4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,audio,animals,negative,0
Thu,Nov,2020,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,photo,fitness,negative,0
Mon,Sep,2020,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,photo,fitness,negative,0
Sun,Apr,2021,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,photo,fitness,negative,0
Wed,Jan,2021,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,photo,fitness,negative,0
Sun,Dec,2020,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,disgust,photo,veganism,negative,0
Fri,Jun,2020,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,video,dogs,negative,0
Tue,May,2021,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,video,dogs,negative,0
Mon,Feb,2021,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,video,dogs,negative,0
Tue,Sep,2020,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,GIF,healthy eating,negative,0
Tue,Oct,2020,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,GIF,healthy eating,negative,0
Thu,Mar,2021,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,GIF,healthy eating,negative,0
Sun,Feb,2021,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,GIF,studying,negative,0
Wed,Feb,2021,14ed7f7b-2c96-4458-8a39-606c25c14180,disgust,video,tennis,negative,0
Tue,Nov,2020,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,GIF,tennis,negative,0
Fri,Jan,2021,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,GIF,tennis,negative,0
Sun,Mar,2021,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,GIF,tennis,negative,0
Thu,Sep,2020,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,GIF,travel,negative,0
Tue,Nov,2020,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,GIF,travel,negative,0
Mon,Jan,2021,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,GIF,travel,negative,0
Fri,Jun,2020,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,GIF,travel,negative,0
Wed,Jan,2021,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,GIF,travel,negative,0
Sat,Oct,2020,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,video,science,negative,0
Fri,Aug,2020,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,video,science,negative,0
Sat,Jan,2021,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,video,science,negative,0
Mon,Sep,2020,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,video,technology,negative,0
Thu,Feb,2021,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,video,technology,negative,0
Wed,May,2021,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,video,technology,negative,0
Sun,Dec,2020,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,video,science,negative,0
Thu,Jun,2021,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,video,science,negative,0
Wed,Feb,2021,82145a60-013e-4d96-81a5-399af8618158,disgust,audio,food,negative,0
Wed,Jul,2020,82145a60-013e-4d96-81a5-399af8618158,disgust,audio,food,negative,0
Thu,Sep,2020,d852b946-01e1-44fe-abd7-26198660cbdb,disgust,GIF,food,negative,0
Mon,Feb,2021,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,GIF,healthy eating,negative,0
Fri,Apr,2021,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,GIF,healthy eating,negative,0
Wed,Jul,2020,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,video,culture,negative,0
Fri,Feb,2021,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,video,culture,negative,0
Thu,Jun,2020,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,video,culture,negative,0
Mon,May,2021,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,GIF,soccer,negative,0
Thu,Apr,2021,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,GIF,soccer,negative,0
Tue,Dec,2020,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,GIF,soccer,negative,0
Sun,Dec,2020,026973ef-4b73-4901-9160-bc9e04516057,disgust,audio,culture,negative,0
Tue,Oct,2020,026973ef-4b73-4901-9160-bc9e04516057,disgust,audio,culture,negative,0
Thu,Mar,2021,f08bdab2-b888-484e-8fd9-919e6ed86c12,disgust,audio,education,negative,0
Thu,Nov,2020,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,photo,education,negative,0
Mon,Jun,2021,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,photo,education,negative,0
Thu,Dec,2020,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,photo,studying,negative,0
Tue,Apr,2021,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,photo,studying,negative,0
Wed,Jun,2020,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,photo,studying,negative,0
Sun,Jan,2021,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,audio,science,negative,0
Wed,Nov,2020,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,audio,science,negative,0
Tue,Jan,2021,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,audio,science,negative,0
Wed,Mar,2021,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,GIF,fitness,negative,0
Wed,Jun,2021,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,GIF,fitness,negative,0
Fri,Jan,2021,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,GIF,fitness,negative,0
Sat,Dec,2020,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,video,science,negative,0
Fri,Apr,2021,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,video,science,negative,0
Sat,Jan,2021,9ef39aa2-60f9-4e4b-b666-c6cb97015503,disgust,GIF,travel,negative,0
Sun,Sep,2020,841403fd-321b-4118-90b3-cc0075d64047,disgust,GIF,studying,negative,0
Thu,Mar,2021,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,video,culture,negative,0
Tue,Jun,2020,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,video,culture,negative,0
Tue,Dec,2020,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,photo,science,negative,0
Tue,Apr,2021,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,photo,science,negative,0
Fri,Nov,2020,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,photo,science,negative,0
Sat,Jul,2020,0491183b-be25-4108-b667-8c30d3cdbf50,disgust,audio,veganism,negative,0
Fri,Feb,2021,359b93ea-446f-4202-8801-db238de5de4d,disgust,photo,food,negative,0
Wed,Jun,2021,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,video,healthy eating,negative,0
Thu,Apr,2021,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,video,healthy eating,negative,0
Mon,Aug,2020,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,video,healthy eating,negative,0
Sat,Sep,2020,86346263-02db-4020-a216-9e54f502f643,disgust,GIF,travel,negative,0
Wed,Nov,2020,86346263-02db-4020-a216-9e54f502f643,disgust,GIF,travel,negative,0
Mon,Sep,2020,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,disgust,photo,studying,negative,0
Sat,Mar,2021,9d94f180-947c-40f5-aa05-f1958759b7fc,disgust,video,science,negative,0
Thu,May,2021,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,photo,culture,negative,0
Thu,Mar,2021,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,photo,culture,negative,0
Sat,Oct,2020,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,GIF,culture,negative,0
Fri,Feb,2021,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,GIF,culture,negative,0
Fri,Jan,2021,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,GIF,culture,negative,0
Wed,Aug,2020,fada6910-2cc5-4600-808c-1e6066f795a6,disgust,GIF,technology,negative,0
Sat,Feb,2021,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,photo,culture,negative,0
Sat,Jun,2020,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,photo,culture,negative,0
Tue,Nov,2020,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,GIF,science,negative,0
Tue,Jul,2020,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,GIF,science,negative,0
Thu,Apr,2021,c2d6e707-f00e-4fa4-a193-eb36272f58df,disgust,GIF,veganism,negative,0
Sun,Jan,2021,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,video,healthy eating,negative,0
Tue,Apr,2021,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,video,healthy eating,negative,0
Tue,Nov,2020,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,video,healthy eating,negative,0
Mon,Dec,2020,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,video,healthy eating,negative,0
Tue,May,2021,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,video,healthy eating,negative,0
Wed,Nov,2020,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,photo,dogs,negative,0
Fri,Oct,2020,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,photo,dogs,negative,0
Wed,Nov,2020,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,photo,dogs,negative,0
Mon,Feb,2021,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,photo,dogs,negative,0
Mon,Apr,2021,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,photo,travel,negative,0
Fri,Jan,2021,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,photo,travel,negative,0
Sun,Dec,2020,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,photo,travel,negative,0
Fri,Nov,2020,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,photo,travel,negative,0
Tue,May,2021,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,video,soccer,negative,0
Tue,May,2021,d147ab3c-4097-4eec-b4dc-480e4ece801b,disgust,audio,culture,negative,0
Wed,Feb,2021,62681a6c-fe82-4186-ba7d-0805ae5b95ed,disgust,audio,veganism,negative,0
Fri,Oct,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Sat,Apr,2021,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Wed,Dec,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Fri,Apr,2021,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Wed,Jul,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Fri,Nov,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Mon,Sep,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Wed,Oct,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Sun,Nov,2020,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Thu,May,2021,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,GIF,cooking,negative,0
Mon,Jul,2020,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,audio,technology,negative,0
Sun,Sep,2020,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,audio,technology,negative,0
Thu,Oct,2020,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,audio,technology,negative,0
Wed,Jan,2021,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,video,education,negative,0
Wed,Apr,2021,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,video,education,negative,0
Sat,Jan,2021,1000371f-7758-4c44-a1bc-41fd836b0bcb,disgust,audio,studying,negative,0
Mon,Jul,2020,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,disgust,video,studying,negative,0
Thu,Sep,2020,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,video,public speaking,negative,0
Tue,Sep,2020,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,video,public speaking,negative,0
Tue,Feb,2021,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,video,public speaking,negative,0
Thu,May,2021,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,audio,technology,negative,0
Mon,Apr,2021,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,audio,technology,negative,0
Wed,Feb,2021,e4466189-0b96-4cc4-9d7d-d0f27b982548,disgust,GIF,education,negative,0
Fri,Jul,2020,e4466189-0b96-4cc4-9d7d-d0f27b982548,disgust,GIF,education,negative,0
Mon,May,2021,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,video,public speaking,negative,0
Thu,Apr,2021,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,video,public speaking,negative,0
Fri,Dec,2020,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,photo,food,negative,0
Sat,Dec,2020,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,photo,food,negative,0
Wed,Jul,2020,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,photo,food,negative,0
Tue,Feb,2021,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,GIF,public speaking,negative,0
Thu,Sep,2020,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,GIF,public speaking,negative,0
Thu,Jan,2021,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,photo,animals,negative,0
Thu,Feb,2021,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,photo,animals,negative,0
Mon,Apr,2021,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,disgust,photo,education,negative,0
Fri,Aug,2020,eb6fc324-f85b-4bfb-b712-0a3eceb0b9d7,disgust,GIF,soccer,negative,0
Wed,Nov,2020,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,photo,travel,negative,0
Sun,May,2021,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,photo,travel,negative,0
Sat,Jun,2020,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,photo,travel,negative,0
Mon,Jul,2020,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,photo,travel,negative,0
Sun,Jan,2021,1beeffff-f261-435f-a109-6fafe46669d4,disgust,photo,public speaking,negative,0
Fri,Mar,2021,1beeffff-f261-435f-a109-6fafe46669d4,disgust,photo,public speaking,negative,0
Tue,May,2021,1beeffff-f261-435f-a109-6fafe46669d4,disgust,photo,public speaking,negative,0
Thu,Nov,2020,1beeffff-f261-435f-a109-6fafe46669d4,disgust,photo,public speaking,negative,0
Fri,Sep,2020,61e6650c-5068-4575-9aee-4217ef3dbdb1,disgust,GIF,tennis,negative,0
Thu,Oct,2020,3a7f83a0-b9f9-44c1-a15d-656c4095e732,disgust,GIF,soccer,negative,0
Thu,May,2021,2b6921de-e7f2-4e30-8feb-36bd41becaf0,disgust,audio,travel,negative,0
Sat,Jul,2020,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,video,veganism,negative,0
Tue,Jul,2020,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,video,veganism,negative,0
Fri,Oct,2020,d706b190-216c-4103-9107-fb7304766d68,disgust,video,cooking,negative,0
Tue,Mar,2021,d706b190-216c-4103-9107-fb7304766d68,disgust,video,cooking,negative,0
Fri,Apr,2021,d706b190-216c-4103-9107-fb7304766d68,disgust,video,cooking,negative,0
Sat,Jun,2021,d706b190-216c-4103-9107-fb7304766d68,disgust,video,cooking,negative,0
Sat,Jan,2021,d706b190-216c-4103-9107-fb7304766d68,disgust,video,cooking,negative,0
Fri,Jan,2021,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,audio,tennis,negative,0
Tue,Apr,2021,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,audio,tennis,negative,0
Mon,Sep,2020,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,GIF,technology,negative,0
Wed,Jul,2020,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,audio,technology,negative,0
Sat,Dec,2020,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,photo,animals,negative,0
Sat,Nov,2020,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,photo,animals,negative,0
Tue,May,2021,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,photo,animals,negative,0
Wed,Apr,2021,e51b00b8-49d4-4909-9f25-8e9a06e28728,disgust,video,soccer,negative,0
Thu,Sep,2020,e51b00b8-49d4-4909-9f25-8e9a06e28728,disgust,video,soccer,negative,0
Fri,Oct,2020,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,video,dogs,negative,0
Mon,May,2021,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,video,dogs,negative,0
Wed,Jan,2021,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,video,dogs,negative,0
Sat,Jun,2020,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,GIF,soccer,negative,0
Wed,Jan,2021,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,GIF,soccer,negative,0
Sun,Nov,2020,08cc29f3-a22d-4652-8f27-ff9e0a826289,disgust,photo,technology,negative,0
Wed,Sep,2020,a784c1dd-e2ab-408d-a0c3-226a51d420e1,disgust,audio,technology,negative,0
Wed,May,2021,3a106d1f-3942-49d4-9358-417f33d760c6,disgust,photo,fitness,negative,0
Sun,Jul,2020,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,audio,soccer,negative,0
Sat,Dec,2020,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,audio,soccer,negative,0
Sun,Mar,2021,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,audio,soccer,negative,0
Mon,Jan,2021,de95cdb1-a85a-40de-8467-892e2d1481af,disgust,video,education,negative,0
Fri,Apr,2021,6199f5ca-cc02-410d-a408-e034946de162,disgust,video,animals,negative,0
Tue,Nov,2020,6199f5ca-cc02-410d-a408-e034946de162,disgust,video,animals,negative,0
Tue,Aug,2020,6199f5ca-cc02-410d-a408-e034946de162,disgust,video,animals,negative,0
Wed,Jul,2020,6199f5ca-cc02-410d-a408-e034946de162,disgust,video,animals,negative,0
Wed,May,2021,8490c29c-177f-4c21-9d37-d509f9287f30,disgust,GIF,tennis,negative,0
Tue,Apr,2021,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,disgust,video,science,negative,0
Tue,Jul,2020,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,photo,animals,negative,0
Sat,Feb,2021,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,photo,animals,negative,0
Sat,Apr,2021,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,photo,animals,negative,0
Mon,Sep,2020,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,photo,animals,negative,0
Tue,Sep,2020,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,photo,animals,negative,0
Tue,Mar,2021,7c2e209e-acea-4246-a32d-636e2f2cc2c1,disgust,video,dogs,negative,0
Wed,Aug,2020,2eb7feec-26a4-4949-8470-3e66c16536e9,disgust,video,tennis,negative,0
Sun,May,2021,f783f128-6f66-4ef3-a190-5afc29d17012,disgust,GIF,tennis,negative,0
Wed,Feb,2021,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,video,cooking,negative,0
Sat,Jul,2020,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,video,cooking,negative,0
Tue,Feb,2021,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,video,food,negative,0
Fri,Apr,2021,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,video,food,negative,0
